% class 0 in train,Technique,Balanced Accuracy,ROC AUC,Accuracy,Precision (Class 0),Precision (Class 1),Recall (Class 0),Recall (Class 1),F1 (Class 0),F1 (Class 1),# Class 0 after resampling,# Class 1 after resampling,# class 0 before resampling,Train Class 0
75,SMOTE+TomekLinks,0.9854819196128511,0.9925729264686114,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,806,806,150,75% (150)
75,SMOTE+ENN,0.9854819196128511,0.9911614464309719,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,806,800,150,75% (150)
75,RUS,0.9869270063180535,0.9982692566205136,0.9930555555555556,0.9882352941176471,0.9942363112391931,0.9767441860465116,0.9971098265895953,0.9824561403508771,0.9956709956709957,150,150,150,75% (150)
75,NearMiss-1,0.7427409598064256,0.8682618631536496,0.5949074074074074,0.3281853281853282,0.9942196531791907,0.9883720930232558,0.49710982658959535,0.4927536231884058,0.6628131021194605,150,150,150,75% (150)
75,NearMiss-2,0.6242774566473989,0.7251646726710579,0.39814814814814814,0.24855491329479767,1.0,1.0,0.24855491329479767,0.39814814814814814,0.39814814814814814,150,150,150,75% (150)
75,NearMiss-3,0.9796679661244792,0.9864061029708294,0.9884259259259259,0.9764705882352941,0.9913544668587896,0.9651162790697675,0.9942196531791907,0.9707602339181286,0.9927849927849928,150,31,150,75% (150)
100,None,0.9694851458529372,0.9924553031321415,0.9861111111111112,0.9878048780487805,0.9857142857142858,0.9418604651162791,0.9971098265895953,0.9642857142857143,0.9913793103448276,201,806,201,100% (201)
100,SMOTE,0.9854819196128511,0.9926065331361742,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,806,806,201,100% (201)
100,ADASYN,0.9912958731012232,0.9926737464713,0.9930555555555556,0.9770114942528736,0.9971014492753624,0.9883720930232558,0.9942196531791907,0.9826589595375722,0.9956584659913169,807,806,201,100% (201)
100,SMOTE+TomekLinks,0.9854819196128511,0.9926065331361742,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,806,806,201,100% (201)
100,SMOTE+ENN,0.9796679661244792,0.9925729264686114,0.9884259259259259,0.9764705882352941,0.9913544668587896,0.9651162790697675,0.9942196531791907,0.9707602339181286,0.9927849927849928,802,800,201,100% (201)
100,RUS,0.9811130528296814,0.9979835999462293,0.9907407407407407,0.9880952380952381,0.9913793103448276,0.9651162790697675,0.9971098265895953,0.9764705882352941,0.9942363112391931,201,201,201,100% (201)
100,NearMiss-1,0.8626495496706547,0.9781556660841512,0.7939814814814815,0.49122807017543857,0.9923371647509579,0.9767441860465116,0.7485549132947977,0.6536964980544747,0.8533772652388797,201,201,201,100% (201)
100,NearMiss-2,0.6184635031590268,0.7281052560828069,0.3958333333333333,0.2463768115942029,0.9885057471264368,0.9883720930232558,0.24855491329479767,0.39443155452436196,0.3972286374133949,201,201,201,100% (201)
100,NearMiss-3,0.973854012636107,0.9893466863825784,0.9861111111111112,0.9761904761904762,0.9885057471264368,0.9534883720930233,0.9942196531791907,0.9647058823529412,0.9913544668587896,201,31,201,100% (201)
